,Area_Name,Year,Group_Name,Sub_Group_Name,Trial_of_Violent_Crimes_by_Courts_By_Confession,Trial_of_Violent_Crimes_by_Courts_By_trial,Trial_of_Violent_Crimes_by_Courts_Total
0,Andhra Pradesh,2001,TVC- Arson,10. Arson,20.0,517.0,537.0
1,Arunachal Pradesh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
2,Assam,2001,TVC- Arson,10. Arson,5.0,142.0,147.0
3,Bihar,2001,TVC- Arson,10. Arson,0.0,208.0,208.0
4,Chandigarh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
5,Chhattisgarh,2001,TVC- Arson,10. Arson,22.0,41.0,63.0
7,Delhi,2001,TVC- Arson,10. Arson,18.0,75.0,93.0
9,Gujarat,2001,TVC- Arson,10. Arson,2.0,228.0,230.0
10,Haryana,2001,TVC- Arson,10. Arson,3.0,106.0,109.0
11,Himachal Pradesh,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
12,Jammu & Kashmir,2001,TVC- Arson,10. Arson,0.0,48.0,48.0
13,Jharkhand,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
14,Karnataka,2001,TVC- Arson,10. Arson,0.0,181.0,181.0
15,Kerala,2001,TVC- Arson,10. Arson,2.0,92.0,94.0
17,Maharashtra,2001,TVC- Arson,10. Arson,4.0,666.0,670.0
18,Meghalaya,2001,TVC- Arson,10. Arson,0.0,8.0,8.0
19,Mizoram,2001,TVC- Arson,10. Arson,2.0,11.0,13.0
20,Nagaland,2001,TVC- Arson,10. Arson,0.0,0.0,0.0
21,Odisha,2001,TVC- Arson,10. Arson,0.0,190.0,190.0
23,Punjab,2001,TVC- Arson,10. Arson,2.0,16.0,18.0
25,Tamil Nadu,2001,TVC- Arson,10. Arson,34.0,395.0,429.0
26,Tripura,2001,TVC- Arson,10. Arson,0.0,17.0,17.0
29,West Bengal,2001,TVC- Arson,10. Arson,0.0,40.0,40.0
30,Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
31,Andhra Pradesh,2002,TVC- Arson,10. Arson,0.0,499.0,499.0
32,Assam,2002,TVC- Arson,10. Arson,5.0,125.0,130.0
33,Bihar,2002,TVC- Arson,10. Arson,0.0,148.0,148.0
34,Chandigarh,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
35,Chhattisgarh,2002,TVC- Arson,10. Arson,30.0,55.0,85.0
37,Daman & Diu,2002,TVC- Arson,10. Arson,0.0,0.0,0.0
39,Goa,2002,TVC- Arson,10. Arson,0.0,18.0,18.0
40,Gujarat,2002,TVC- Arson,10. Arson,0.0,207.0,207.0
41,Haryana,2002,TVC- Arson,10. Arson,0.0,168.0,168.0
42,Himachal Pradesh,2002,TVC- Arson,10. Arson,7.0,48.0,55.0
43,Jammu & Kashmir,2002,TVC- Arson,10. Arson,0.0,35.0,35.0
45,Karnataka,2002,TVC- Arson,10. Arson,0.0,137.0,137.0
47,Madhya Pradesh,2002,TVC- Arson,10. Arson,0.0,696.0,696.0
48,Maharashtra,2002,TVC- Arson,10. Arson,2.0,684.0,686.0
49,Meghalaya,2002,TVC- Arson,10. Arson,0.0,4.0,4.0
50,Mizoram,2002,TVC- Arson,10. Arson,4.0,7.0,11.0
51,Nagaland,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
52,Odisha,2002,TVC- Arson,10. Arson,0.0,218.0,218.0
54,Punjab,2002,TVC- Arson,10. Arson,0.0,44.0,44.0
57,Tamil Nadu,2002,TVC- Arson,10. Arson,32.0,495.0,527.0
59,Uttar Pradesh,2002,TVC- Arson,10. Arson,1.0,550.0,551.0
60,Uttarakhand,2002,TVC- Arson,10. Arson,0.0,17.0,17.0
61,West Bengal,2002,TVC- Arson,10. Arson,0.0,63.0,63.0
62,Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0.0,3.0,3.0
63,Andhra Pradesh,2003,TVC- Arson,10. Arson,0.0,484.0,484.0
64,Arunachal Pradesh,2003,TVC- Arson,10. Arson,0.0,1.0,1.0
65,Assam,2003,TVC- Arson,10. Arson,8.0,173.0,181.0
66,Bihar,2003,TVC- Arson,10. Arson,0.0,233.0,233.0
67,Chandigarh,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
68,Chhattisgarh,2003,TVC- Arson,10. Arson,0.0,57.0,57.0
70,Daman & Diu,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
73,Gujarat,2003,TVC- Arson,10. Arson,1.0,313.0,314.0
74,Haryana,2003,TVC- Arson,10. Arson,0.0,122.0,122.0
75,Himachal Pradesh,2003,TVC- Arson,10. Arson,6.0,46.0,52.0
76,Jammu & Kashmir,2003,TVC- Arson,10. Arson,0.0,17.0,17.0
77,Jharkhand,2003,TVC- Arson,10. Arson,0.0,104.0,104.0
78,Karnataka,2003,TVC- Arson,10. Arson,0.0,236.0,236.0
79,Kerala,2003,TVC- Arson,10. Arson,2.0,128.0,130.0
81,Maharashtra,2003,TVC- Arson,10. Arson,0.0,663.0,663.0
82,Meghalaya,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
83,Mizoram,2003,TVC- Arson,10. Arson,8.0,4.0,12.0
84,Nagaland,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
85,Odisha,2003,TVC- Arson,10. Arson,0.0,246.0,246.0
87,Punjab,2003,TVC- Arson,10. Arson,0.0,44.0,44.0
90,Tamil Nadu,2003,TVC- Arson,10. Arson,9.0,404.0,413.0
93,Uttarakhand,2003,TVC- Arson,10. Arson,0.0,10.0,10.0
94,West Bengal,2003,TVC- Arson,10. Arson,0.0,82.0,82.0
96,Andhra Pradesh,2004,TVC- Arson,10. Arson,0.0,542.0,542.0
97,Arunachal Pradesh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
98,Assam,2004,TVC- Arson,10. Arson,20.0,173.0,193.0
99,Bihar,2004,TVC- Arson,10. Arson,0.0,286.0,286.0
100,Chandigarh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
101,Chhattisgarh,2004,TVC- Arson,10. Arson,7.0,70.0,77.0
105,Gujarat,2004,TVC- Arson,10. Arson,1.0,288.0,289.0
107,Himachal Pradesh,2004,TVC- Arson,10. Arson,0.0,54.0,54.0
110,Karnataka,2004,TVC- Arson,10. Arson,0.0,186.0,186.0
113,Maharashtra,2004,TVC- Arson,10. Arson,0.0,593.0,593.0
114,Manipur,2004,TVC- Arson,10. Arson,0.0,0.0,0.0
