,Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
1,Andhra Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,1311.0,2725
2,Arunachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,21.0,27
3,Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,94.0,205
4,Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44.0,205.0,946
5,Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,107.0,281
6,Chhattisgarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,338.0,790
8,Delhi,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62.0,688.0,3185
9,Goa,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9.0,68.0,152
10,Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401.0,1345.0,4830
11,Haryana,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34.0,882.0,1967
12,Himachal Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7.0,31.0,47
13,Jammu & Kashmir,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,81.0,460
14,Jharkhand,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10.0,38.0,211
15,Karnataka,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183.0,993.0,3087
16,Kerala,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47.0,300.0,1038
18,Maharashtra,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653.0,1968.0,6244
20,Meghalaya,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,5.0,22
21,Mizoram,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,11.0,11
22,Nagaland,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,15.0,53
23,Odisha,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22.0,222.0,778
24,Puducherry,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136.0,136.0,281
25,Punjab,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123.0,229.0,609
26,Rajasthan,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58.0,628.0,3273
27,Sikkim,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2.0,2.0,2
28,Tamil Nadu,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,2523.0,3858
30,Uttar Pradesh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15.0,727.0,4046
32,West Bengal,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14.0,461.0,1904
33,Andaman & Nicobar Islands,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,1.0,2
34,Andhra Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12.0,1420.0,3025
36,Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,115.0,485
37,Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13.0,197.0,996
38,Chandigarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,126.0,328
39,Chhattisgarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,244.0,752
41,Daman & Diu,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0.0,16.0,32
42,Delhi,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,111.0,665.0,3291
43,Goa,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1.0,32.0,138
