,Area_Name,Year,Group_Name,Sub_Group_Name,Loss_of_Property_1_10_Crores,Loss_of_Property_10_25_Crores,Loss_of_Property_25_50_Crores,Loss_of_Property_50_100_Crores,Loss_of_Property_Above_100_Crores
0,Andhra Pradesh,2001,Serious Fraud - Cheating,2. Cheating ,4.0,0.0,0.0,0.0,0.0
1,Arunachal Pradesh,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
2,Assam,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
3,Bihar,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
4,Chandigarh,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
5,Chhattisgarh,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
8,Gujarat,2001,Serious Fraud - Cheating,2. Cheating ,14.0,0.0,1.0,1.0,0.0
9,Haryana,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
10,Himachal Pradesh,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
11,Jammu & Kashmir,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
12,Jharkhand,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,2.0,0.0,0.0
13,Karnataka,2001,Serious Fraud - Cheating,2. Cheating ,52.0,0.0,0.0,0.0,0.0
14,Maharashtra,2001,Serious Fraud - Cheating,2. Cheating ,8.0,1.0,0.0,0.0,0.0
15,Meghalaya,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
16,Nagaland,2001,Serious Fraud - Cheating,2. Cheating ,7.0,0.0,0.0,0.0,0.0
17,Odisha,2001,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
20,West Bengal,2001,Serious Fraud - Cheating,2. Cheating ,2.0,2.0,0.0,0.0,0.0
21,Andhra Pradesh,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
22,Bihar,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
23,Chandigarh,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
24,Chhattisgarh,2002,Serious Fraud - Cheating,2. Cheating ,16.0,0.0,0.0,0.0,0.0
25,Daman & Diu,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
27,Gujarat,2002,Serious Fraud - Cheating,2. Cheating ,10.0,1.0,0.0,1.0,1.0
28,Haryana,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
29,Himachal Pradesh,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
30,Jammu & Kashmir,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
31,Karnataka,2002,Serious Fraud - Cheating,2. Cheating ,4.0,0.0,0.0,0.0,0.0
32,Madhya Pradesh,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
33,Maharashtra,2002,Serious Fraud - Cheating,2. Cheating ,30.0,7.0,2.0,0.0,0.0
34,Meghalaya,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
35,Nagaland,2002,Serious Fraud - Cheating,2. Cheating ,3.0,0.0,0.0,0.0,0.0
36,Odisha,2002,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
37,Punjab,2002,Serious Fraud - Cheating,2. Cheating ,485.0,0.0,0.0,0.0,0.0
38,Tamil Nadu,2002,Serious Fraud - Cheating,2. Cheating ,1.0,1.0,0.0,0.0,0.0
39,West Bengal,2002,Serious Fraud - Cheating,2. Cheating ,0.0,1.0,0.0,0.0,1.0
40,Andhra Pradesh,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
41,Arunachal Pradesh,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
42,Bihar,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
43,Chandigarh,2003,Serious Fraud - Cheating,2. Cheating ,2.0,0.0,1.0,0.0,0.0
44,Chhattisgarh,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
46,Daman & Diu,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
47,Delhi,2003,Serious Fraud - Cheating,2. Cheating ,26.0,0.0,0.0,0.0,0.0
49,Gujarat,2003,Serious Fraud - Cheating,2. Cheating ,10.0,0.0,0.0,0.0,0.0
51,Himachal Pradesh,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
52,Jammu & Kashmir,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
53,Jharkhand,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
54,Karnataka,2003,Serious Fraud - Cheating,2. Cheating ,24.0,0.0,0.0,0.0,0.0
55,Maharashtra,2003,Serious Fraud - Cheating,2. Cheating ,4.0,2.0,0.0,0.0,0.0
56,Meghalaya,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
57,Nagaland,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
58,Odisha,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
59,Punjab,2003,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
62,West Bengal,2003,Serious Fraud - Cheating,2. Cheating ,3.0,0.0,0.0,0.0,0.0
63,Andhra Pradesh,2004,Serious Fraud - Cheating,2. Cheating ,2.0,0.0,0.0,0.0,0.0
64,Arunachal Pradesh,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
65,Bihar,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
66,Chhattisgarh,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
69,Gujarat,2004,Serious Fraud - Cheating,2. Cheating ,31.0,1.0,0.0,0.0,0.0
70,Himachal Pradesh,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
71,Karnataka,2004,Serious Fraud - Cheating,2. Cheating ,21.0,0.0,0.0,0.0,0.0
72,Madhya Pradesh,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
73,Maharashtra,2004,Serious Fraud - Cheating,2. Cheating ,14.0,1.0,1.0,0.0,0.0
74,Manipur,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
75,Meghalaya,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
76,Mizoram,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
77,Nagaland,2004,Serious Fraud - Cheating,2. Cheating ,1.0,0.0,0.0,0.0,0.0
78,Odisha,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
80,Punjab,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
82,Tamil Nadu,2004,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
83,West Bengal,2004,Serious Fraud - Cheating,2. Cheating ,12.0,1.0,0.0,0.0,0.0
84,Andhra Pradesh,2005,Serious Fraud - Cheating,2. Cheating ,1.0,0.0,0.0,0.0,0.0
85,Arunachal Pradesh,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
86,Assam,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
87,Bihar,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
88,Chandigarh,2005,Serious Fraud - Cheating,2. Cheating ,2.0,0.0,0.0,0.0,0.0
89,Chhattisgarh,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
92,Gujarat,2005,Serious Fraud - Cheating,2. Cheating ,19.0,1.0,0.0,0.0,0.0
93,Haryana,2005,Serious Fraud - Cheating,2. Cheating ,1.0,0.0,0.0,0.0,0.0
94,Himachal Pradesh,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
95,Jammu & Kashmir,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
96,Karnataka,2005,Serious Fraud - Cheating,2. Cheating ,5.0,1.0,0.0,1.0,0.0
97,Madhya Pradesh,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
98,Maharashtra,2005,Serious Fraud - Cheating,2. Cheating ,35.0,2.0,2.0,0.0,0.0
99,Manipur,2005,Serious Fraud - Cheating,2. Cheating ,1.0,0.0,0.0,0.0,0.0
100,Meghalaya,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
101,Mizoram,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
102,Nagaland,2005,Serious Fraud - Cheating,2. Cheating ,4.0,7.0,1.0,0.0,0.0
103,Odisha,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
104,Punjab,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
106,Uttar Pradesh,2005,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
107,West Bengal,2005,Serious Fraud - Cheating,2. Cheating ,8.0,0.0,0.0,0.0,0.0
108,Andhra Pradesh,2006,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
109,Arunachal Pradesh,2006,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
110,Assam,2006,Serious Fraud - Cheating,2. Cheating ,0.0,0.0,0.0,0.0,0.0
